Name,shape,year,Brand,Link,cost,sales,Colorway,color,category,size,default
Magnus Pro IV,Elongated,,JOOLA,https://amzn.to/4cX3ZJF,$$$,487.0,Black ,black,paddle,16mm,
Magnus Pro IV,Elongated,,JOOLA,https://amzn.to/4rOFxz5,$$$,487.0,Black ,black,paddle,14mm,
Scorpeus Pro IV,Elongated,,JOOLA,https://amzn.to/4u3zRCE,$$$,487.0,Black ,black,paddle,16mm,
Scorpeus Pro IV,Elongated,,JOOLA,https://amzn.to/4rLbI21,$$$,487.0,Black ,black,paddle,14mm,
2.1 Portable Pickleball net System,,,Swiftnet,https://amzn.to/46CS0gJ,$$$,279.0,Black,black,net,,
Perseus Pro V,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-perseus-pro-v-pickleball-paddle-1?variant=47784217346262,$$$,999.0,Blaze Red,red,paddle,16mm,
Perseus Pro V,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-perseus-pro-v-pickleball-paddle-1?variant=47784670888150,$$$,999.0,Breeze Blue ,blue,paddle,16mm,
Perseus Pro V,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/joola-perseus-pro-v-pickleball-paddle-1?variant=47784217313494,$$$,999.0,Blaze Red,red,paddle,14mm,
Kosmos Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/kosmos-pro-v-pickleball-paddle?variant=47759986983126,$$$,998.0,Surge Green ,green,paddle,16mm,
Kosmos Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/kosmos-pro-v-pickleball-paddle?variant=47759987015894,$$$,998.0,Surge Green ,green,paddle,16mm,
Scorpeus Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/scorpeus-pro-v-pickleball-paddle?variant=47784671019222,$$$,998.0,Yellow ,yellow,paddle,16mm,
Scorpeus Pro V Pickleball Paddle,Elongated,2026.0,JOOLA,https://joola.com/collections/pro-v/products/scorpeus-pro-v-pickleball-paddle?variant=47784671084758,$$$,998.0,Yellow ,yellow,paddle,14mm,
